,fw passes,fw per steps,bw passes,bw per steps
sa-SLS,315070.5,4.039365384615385,78000.0,1.0
l-SLS,315140.25,4.040259615384615,78000.0,1.0
Sgd Armijo,157528.25,2.019592948717949,78000.0,1.0
