,fw passes,fw per steps,bw passes,bw per steps
sa-SLS,315156.0,4.040461538461538,78000.0,1.0
l-SLS,315198.0,4.041,78000.0,1.0
Sgd Armijo,157537.75,2.0197147435897436,78000.0,1.0
