slope,acc,loss,lr
0.1,0.9835,0.0009670017566233396,"[2.54511238e-02 6.47759701e-04 1.23930443e-03 2.37105745e-03
 4.53634581e-03 8.67901082e-03 1.66048251e-02 2.31593257e-02
 4.43087997e-02 5.56191182e-02 5.08962449e-02 5.17493470e-02
 6.49589487e-02 7.33864046e-02 6.04393469e-02 6.82804517e-02
 3.68952600e-02 7.05886134e-02 5.81351506e-02 7.29748004e-02
 6.01003592e-02 7.54416505e-02 5.59187999e-02 5.11704792e-02
 6.42323184e-02 8.06283387e-02 7.37818182e-02 6.75166671e-02
 4.50401850e-02 7.75544551e-02 5.17363661e-02 6.49426543e-02
 5.94280770e-02 6.71379846e-02 7.24353472e-05 1.38584488e-04
 2.65142104e-04 5.07274200e-04 9.70525275e-04 1.85682479e-03
 3.55250749e-03 6.79671529e-03 1.30035866e-02 2.48786740e-02
 4.75982851e-02 7.37633107e-02 4.92073040e-02 6.86311341e-02
 4.12052786e-02 5.09356880e-03 9.74509893e-03 1.86444823e-02
 3.56709277e-02 6.14215808e-02 6.24511043e-02 6.34978842e-02
 7.17357888e-02 5.31719440e-02 4.86568714e-02 8.37820082e-02
 6.90009258e-02 8.66141866e-02 7.92593805e-02 8.95421043e-02
 6.63703270e-02 9.25689977e-02 2.15317747e-02 6.18313989e-03
 1.18296841e-02 2.26327447e-02 4.33013364e-02 2.56016636e-03
 4.89815206e-03 5.53361432e-03 1.05870012e-02 2.02552234e-02
 3.13896254e-02 6.00551435e-02 6.78464037e-02 1.91863024e-03
 3.67075469e-03 7.02294776e-03 1.34364182e-02 2.81280929e-03
 5.38151263e-03 1.02959978e-02 1.04685751e-02 2.00286487e-02
 2.75092316e-03 2.79703302e-03 5.35132920e-03 2.60242587e-03
 4.97900363e-03 3.32147978e-03 1.17754047e-03 2.25288963e-03
 4.31026520e-03 8.24646972e-03 1.57772804e-02 2.16700022e-03]"
0.5,0.9838,0.0005918833023595373,"[2.82790264e-02 3.14612725e-03 6.01922199e-03 1.15160737e-02
 9.48437217e-03 1.81456556e-02 2.81204171e-02 3.92205214e-02
 6.07802466e-02 6.17990203e-02 6.28348703e-02 5.74992745e-02
 6.49589487e-02 8.15404496e-02 7.46164776e-02 7.58671686e-02
 4.09947333e-02 5.14590991e-02 5.23216356e-02 2.99998176e-05
 5.73961405e-05 1.09811233e-04 2.10092642e-04 2.63721147e-04
 8.41456544e-05 1.60988839e-04 3.08006473e-04 4.23045087e-05
 8.09376764e-05 1.54851283e-04 2.96264001e-04 5.66817121e-04
 1.08444376e-03 2.07477550e-03 6.61999785e-04 1.26654879e-03
 2.42318181e-03 4.63607097e-03 8.86980663e-03 1.37455856e-02
 2.62982786e-02 4.07545796e-02 6.31575846e-02 7.13513403e-02
 6.52925721e-02 8.19592341e-02 5.46747822e-02 7.62568156e-02
 6.97815011e-02 5.74704317e-02 5.84337276e-02 1.35918276e-02
 2.60041063e-02 4.97514804e-02 5.05853945e-02 7.05532047e-02
 6.45622099e-02 5.90799378e-02 6.00702116e-02 6.78634267e-02
 6.90009258e-02 6.31417420e-02 5.77800884e-02 6.52761940e-02
 7.37448078e-02 7.49808882e-02 7.62376873e-02 5.65088376e-02
 5.74560157e-02 7.21223087e-02 7.33311934e-02 8.28448233e-02
 8.42334344e-02 8.56453209e-02 8.70808729e-02 8.85404870e-02
 5.90651181e-02 9.15335216e-02 8.37609922e-02 1.05141926e-01
 1.06904272e-01 1.08696158e-01 1.36442072e-01 1.01133484e-01
 3.58541304e-02 6.85967073e-02 1.18116306e-01 1.48266819e-01
 3.39620144e-03 6.49766800e-03 1.22421248e-03 2.34218328e-03
 4.48110327e-03 8.57331989e-03 1.64026155e-02 3.13817516e-02
 2.58452854e-02 4.94476217e-02 9.46039966e-02 3.35392781e-02]"
0.9,0.9831,0.002491370665324149,"[2.82790264e-02 3.49569694e-03 6.68802443e-03 1.27956375e-02
 1.17091014e-02 2.24020439e-02 3.47165643e-02 4.35783571e-02
 6.07802466e-02 6.86655781e-02 6.28348703e-02 5.17493470e-02
 6.49589487e-02 8.15404496e-02 7.46164776e-02 7.58671686e-02
 4.55497037e-02 5.14590991e-02 5.23216356e-02 7.29748004e-02
 6.01003592e-02 7.54416505e-02 6.21319998e-02 5.68560880e-02
 4.54100041e-04 4.54680032e-05 8.69901255e-05 1.66430927e-04
 3.18418366e-04 6.09203213e-04 1.16553753e-03 2.22992541e-03
 4.26632969e-03 9.62363390e-06 1.84120934e-05 3.52263175e-05
 6.73955654e-05 1.28942295e-04 2.46694503e-04 4.71979949e-04
 9.02999739e-04 2.83732816e-05 5.42842254e-05 1.03857466e-04
 1.98701798e-04 3.80159522e-04 7.27327400e-04 2.50060210e-06
 4.78419273e-06 9.15319559e-06 1.75120431e-05 3.35043267e-05
 6.41010245e-05 1.22639126e-04 2.34635177e-04 4.48907848e-04
 8.58857820e-04 1.64318079e-03 3.14376031e-03 2.00283061e-06
 3.83184820e-06 7.33115449e-06 1.40260844e-05 1.58457599e-05
 3.03163663e-05 2.02239655e-05 3.86928209e-05 7.40277362e-05
 1.41631073e-04 2.70970879e-04 5.18425907e-04 9.91860905e-04
 1.89764447e-03 3.63060436e-03 6.94613149e-03 1.32894521e-02
 2.54255966e-02 4.86446662e-02 6.10617633e-02 1.42031151e-02
 2.71736315e-02 5.19890352e-02 6.52598201e-02 1.87402387e-02
 3.58541304e-02 6.17370366e-02 6.97464974e-02 5.74416034e-02
 5.84044161e-02 7.33127989e-02 6.03787269e-02 7.57910747e-02
 5.05600198e-02 6.34660324e-02 5.22691576e-02 6.56114468e-02
 6.67111991e-02 8.37399815e-02 6.89663135e-02 7.01222988e-02]"
1.0,0.9843,0.0005325100394571548,"[2.82790264e-02 3.49569694e-03 6.68802443e-03 1.27956375e-02
 1.17091014e-02 2.24020439e-02 3.47165643e-02 4.35783571e-02
 6.07802466e-02 6.86655781e-02 6.28348703e-02 5.17493470e-02
 6.49589487e-02 8.15404496e-02 7.46164776e-02 7.58671686e-02
 4.55497037e-02 5.71767768e-02 4.70894720e-02 1.74448150e-06
 3.33757048e-06 6.38549429e-06 1.22168319e-05 2.33734421e-05
 4.33667787e-07 8.29700287e-07 2.64732936e-07 5.06491373e-07
 9.69027559e-07 1.85395934e-06 3.54702525e-06 6.78622659e-06
 1.29835194e-05 2.48402812e-05 4.75248313e-05 9.09252827e-05
 1.73959734e-04 3.32822602e-04 6.36761633e-04 1.21826275e-03
 2.33080016e-03 4.45932490e-03 8.53165316e-03 1.46906082e-02
 2.81063114e-02 5.37734535e-02 7.49997012e-02 6.86311341e-02
 6.28033510e-02 5.74704317e-02 6.49263640e-02 2.84171350e-02
 4.89313137e-02 6.14215808e-02 6.24511043e-02 6.34978842e-02
 7.17357888e-02 7.29381948e-02 6.67446796e-02 6.10770840e-02
 6.90009258e-02 7.01574912e-02 7.13334424e-02 5.87485746e-02
 6.63703270e-02 8.33120980e-02 5.00195466e-02 7.75155523e-02
 6.38400175e-02 5.84190700e-02 8.14791038e-02 8.28448233e-02
 7.58100910e-02 8.56453209e-02 6.34819563e-02 9.83783189e-02
 5.90651181e-02 7.41421525e-02 8.37609922e-02 1.05141926e-01
 1.06904272e-01 7.92394989e-02 9.94662705e-02 7.37263095e-02
 4.42643585e-02 9.26639799e-03 1.77286238e-02 3.39186924e-02
 6.48937957e-02 1.24155869e-01 1.02251904e-01 1.15517565e-01
 1.05708441e-01 6.34660324e-02 1.21424249e-01 1.37177236e-01
 1.39476545e-01 1.03382693e-01 1.78014110e-01 1.46608307e-01]"
2.0,0.9831,0.0009895503734207102,"[2.06154103e-02 3.00456710e-06 5.74838680e-06 1.09979074e-05
 2.10413759e-05 4.02567037e-05 7.70197824e-05 1.47355504e-04
 2.81922955e-04 5.39379597e-04 1.03194985e-03 1.97434328e-03
 9.60150617e-04 1.97938989e-05 3.78700103e-05 7.24535216e-05
 1.38619260e-04 2.65208629e-04 5.07401477e-04 9.70768784e-04
 1.85729068e-03 3.55339883e-03 2.51533734e-06 4.81238445e-06
 9.20713244e-06 1.76152360e-05 3.37017570e-05 6.44787513e-05
 1.23361799e-04 1.69436709e-05 3.24169075e-05 2.12958981e-06
 4.07436597e-06 7.79514346e-06 1.49137956e-05 2.85333172e-05
 5.45904080e-05 1.04443259e-04 1.99822548e-04 3.82303759e-04
 7.31429789e-04 1.39938341e-03 2.67732316e-03 5.12229836e-03
 9.80006480e-03 1.87496439e-02 3.58721246e-02 5.00320967e-02
 5.08707143e-02 5.17233885e-02 6.49263640e-02 6.60146333e-02
 6.04090293e-02 6.14215808e-02 6.93901159e-02 5.71480958e-02
 6.45622099e-02 5.31719440e-02 6.67446796e-02 6.78634267e-02
 6.90009258e-02 5.11448111e-02 7.13334424e-02 7.25291045e-02
 7.37448078e-02 7.49808882e-02 6.86139185e-02 5.65088376e-02
 7.09333527e-02 6.49100778e-02 4.33013364e-02 7.45603410e-02
 5.52655563e-02 6.93727100e-02 5.71337607e-02 6.45460150e-02
 5.31586063e-02 6.00551435e-02 6.78464037e-02 6.20852557e-02
 7.01398927e-02 5.19890352e-02 7.25109112e-02 9.10201352e-02
 6.07192847e-02 6.85967073e-02 5.08451966e-02 8.75500737e-02
 7.21042174e-02 8.14586654e-02 1.02251904e-01 4.47538717e-02
 8.56238375e-02 8.70590294e-02 7.16998047e-02 1.23459513e-01
 9.15105612e-02 9.30444239e-02 9.46039966e-02 1.31947476e-01]"
5.0,0.9058,0.341739655018617,"[1.66984823e-02 2.66292923e-07 4.44668766e-09 3.24577562e-10
 6.20987087e-10 1.18808263e-09 2.27305907e-09 1.87203892e-09
 3.58161540e-09 4.49586294e-09 6.96726224e-09 2.74450404e-09
 3.44506951e-09 5.33884219e-09 4.88549671e-09 4.02358219e-09
 1.42645181e-09 2.45619979e-09 4.69924151e-09 3.87018671e-09
 2.09125073e-09 6.00530890e-10 3.60551272e-10 6.89812576e-10
 1.06900615e-09 2.04524000e-09 2.85256719e-09 7.37237874e-10
 1.41049553e-09 1.96726705e-09 3.76380742e-09 2.78980633e-09
 2.29762002e-09 4.39584411e-09 3.25828405e-09 4.08999763e-09
 3.03158478e-09 3.08239897e-09 4.77680976e-09 3.18659680e-09
 6.09664899e-09 1.27628588e-09 2.44181098e-09 2.75859957e-09
 1.84025427e-09 3.52080450e-09 3.57981879e-09 2.65343042e-09
 1.29040014e-09 2.46881461e-09 3.82593488e-09 4.80254770e-09
 4.88304605e-09 4.96489368e-09 5.04811320e-09 9.65813254e-09
 5.21876030e-09 5.30623504e-09 2.09020172e-09 3.99900803e-09
 3.29349060e-09 3.72077194e-09 2.01051464e-09 3.84654942e-09
 1.36368965e-09 2.60903328e-09 4.49248054e-09 6.26581847e-09
 5.16038329e-09 2.03274863e-09 3.88908785e-09 1.11680410e-09
 2.13668783e-09 1.58375404e-09 1.98802504e-09 3.80352194e-09
 5.89433779e-09 8.22103742e-09 6.09359079e-09 1.74985689e-09
 3.34785475e-09 2.23334480e-09 2.04370129e-09 2.30884109e-09
 2.60837883e-09 3.63799645e-09 6.96027416e-09 1.99873673e-09
 3.82401572e-09 4.32012479e-09 8.26533323e-09 2.37350206e-09
 3.31040567e-09 1.30401604e-09 2.24537830e-09 2.28301441e-09
 4.36790042e-09 1.91175369e-09 1.94379773e-09 3.71890552e-09]"
10.0,0.8697,0.5095346556005315,"[5.47574135e-07 7.52089867e-08 8.23980201e-10 1.57645236e-09
 2.19873281e-09 4.20665148e-09 1.20799678e-09 2.31115916e-09
 6.63680565e-10 9.25658310e-10 1.77098458e-09 9.56949389e-10
 1.83085118e-09 1.09922026e-09 2.10304614e-09 3.62122397e-09
 1.76105162e-09 3.36927268e-09 2.49736961e-09 3.13485123e-09
 1.11137638e-09 2.12630342e-09 9.30645853e-10 1.78052683e-09
 2.01152366e-09 2.04524000e-09 2.31057942e-09 4.42063825e-09
 2.94899576e-09 1.59348631e-09 3.04868401e-09 2.25974312e-09
 4.32337742e-09 3.56063373e-09 2.63921008e-09 1.42609400e-09
 2.21002530e-09 7.83504460e-10 1.49901352e-09 2.86793712e-09
 3.60001026e-09 5.02105921e-09 1.60207218e-09 1.80991718e-09
 3.46276308e-09 4.34667223e-09 5.45620910e-09 3.27584003e-09
 1.16136013e-09 2.22193315e-09 4.25103876e-09 3.15095155e-09
 1.53235159e-09 2.93172007e-09 7.57694710e-10 1.30467049e-09
 2.49611688e-09 3.13327873e-09 3.53977496e-09 3.59910723e-09
 3.29349060e-09 5.10393956e-09 3.40482420e-09 5.86274869e-09
 2.07847835e-09 2.89892587e-09 2.65276483e-09 4.11100350e-09
 2.74243926e-09 3.82497518e-09 4.32120872e-09 3.95427516e-09
 2.13668783e-09 4.08794601e-09 5.70160013e-09 4.69570610e-09
 2.28358723e-09 3.53888704e-09 2.91454558e-09 4.06501784e-09
 1.05059230e-09 2.01001032e-09 3.84558454e-09 3.16713456e-09
 4.90812494e-09 6.16097893e-09 2.69655282e-09 1.61897675e-09
 2.25804304e-09 2.83443387e-09 1.53158293e-09 2.93024946e-09
 2.17195716e-09 2.45373625e-09 3.80256786e-09 1.66431751e-09
 3.18419941e-09 6.09206226e-09 1.57447616e-09 3.01231347e-09]"
