,Accuracies,Mean Acc,Sd Acc,Mean Runtime
adamw,"['73.03', '72.19', '71.86', '73.11']",72.55,0.005,2.30
sgd0.1_False,"['74.19', '73.68', '73.78', '73.61']",73.81,0.002,2.18
sgd0.1_True,"['73.21', '73.40', '73.55', '74.01']",73.54,0.003,2.29
Sls_1.0_weak_accuracy,"['69.63', '75.26', '74.15', '75.44']",73.62,0.024,3.70
Sls_loss,"['75.55', '75.33', '75.71', '75.28']",75.47,0.002,3.78
sgd_armijo,"['74.32', '75.38', '75.03', '74.89']",74.91,0.004,2.76
