,Accuracies,Mean Acc,Sd Acc,Mean Runtime
adamw,"['94.63', '94.61', '94.45', '94.90']",94.65,0.002,5.25
sgd0.1_False,"['93.84', '93.72', '93.55', '93.40']",93.63,0.002,6.04
sgd0.1_True,"['93.95', '93.84', '93.77', '93.93']",93.87,0.001,5.70
Sls_1.0_weak_accuracy,"['95.24', '94.53', '94.79', '95.18']",94.94,0.003,8.88
Sls_loss,"['94.26', '94.29', '94.15', '94.26']",94.24,0.001,9.77
sgd_armijo,"['94.24', '94.04', '94.25', '94.10']",94.16,0.001,6.58
