,Accuracies,Mean Acc,Sd Acc,Mean Runtime
adamw,"['98.37', '98.37', '98.31', '98.39']",98.36,0.000,0.43
sgd0.1_False,"['98.33', '98.35', '98.41', '98.40']",98.37,0.000,0.38
sgd0.1_True,"['98.33', '98.39', '98.35', '98.41']",98.37,0.000,0.49
Sls_1.0_weak_accuracy,"['98.37', '98.15', '58.80', '98.31']",88.41,0.171,0.54
Sls_loss,"['98.40', '98.38', '98.34', '98.41']",98.38,0.000,0.51
sgd_armijo,"['98.37', '98.35', '98.41', '98.36']",98.37,0.000,0.68
